name,slug,url,number,n,quality,price_median,psf_median,psf_yoy,n_yoy,offplan_share,n_projects,units,building
Aurora Spv 2 L.L.C,aurora-spv-2-l-l-c,https://datadubai.ae/developers/aurora-spv-2-l-l-c/,1656,210,ok,5026100.0,1805.11,,-73.5,49.5,4,1688,4
Palma Homes Real Estate Development L.L.C,palma-homes-real-estate-development-l-l-c,https://datadubai.ae/developers/palma-homes-real-estate-development-l-l-c/,1068,210,ok,2850000.0,2565.14,-2.0,-46.0,84.3,4,1705,2
Desert Falcon Real Estate Development L.L.C,desert-falcon-real-estate-development-l-l-c,https://datadubai.ae/developers/desert-falcon-real-estate-development-l-l-c/,1259,209,ok,1322864.0,1673.13,,,100.0,3,810,2
National Properties Owned By National Bonds Corporation Sole Proprietorship Psc Sole Proprietorship L.L.C,national-properties-owned-by-national-bonds-corporation-sole-proprietorship-psc-sole-proprietorship-l-l-c,https://datadubai.ae/developers/national-properties-owned-by-national-bonds-corporation-sole-proprietorship-psc-sole-proprietorship-l-l-c/,1149,209,ok,1340902.0,900.0,-49.6,25.1,21.5,4,731,1
Al Mazaya Real Estate Fz-Llc,al-mazaya-real-estate-fz-llc,https://datadubai.ae/developers/al-mazaya-real-estate-fz-llc/,903,209,ok,595000.0,739.35,9.2,-20.2,0.0,33,2699,0
Manarola Real Estate Developments L.L.C,manarola-real-estate-developments-l-l-c,https://datadubai.ae/developers/manarola-real-estate-developments-l-l-c/,2264,208,ok,3787000.0,3039.79,-2.8,73.3,100.0,1,354,1
Gfh Real Estate L.L.C,gfh-real-estate-l-l-c,https://datadubai.ae/developers/gfh-real-estate-l-l-c/,1199,208,ok,1643317.0,1436.26,9.4,617.2,98.6,2,584,2
Takaya Real Estate Development L.L.C,takaya-real-estate-development-l-l-c,https://datadubai.ae/developers/takaya-real-estate-development-l-l-c/,1923,207,ok,1691426.0,1799.15,13.8,-20.4,100.0,1,822,1
Pashaone Real Estate Development L.L.C,pashaone-real-estate-development-l-l-c,https://datadubai.ae/developers/pashaone-real-estate-development-l-l-c/,2094,206,ok,1009800.5,1449.76,,,100.0,1,530,1
Fakhruddin Properties Development L.L.C,fakhruddin-properties-development-l-l-c,https://datadubai.ae/developers/fakhruddin-properties-development-l-l-c/,1415,205,ok,1300000.0,1833.27,-1.4,2.5,100.0,6,1794,6
Gulf Land Property Developers L.L.C,gulf-land-property-developers-l-l-c,https://datadubai.ae/developers/gulf-land-property-developers-l-l-c/,987,199,ok,2580604.0,2500.0,0.0,121.1,87.4,3,1126,2
A D E Properties L.L.C,a-d-e-properties-l-l-c,https://datadubai.ae/developers/a-d-e-properties-l-l-c/,1551,196,ok,736000.0,1564.24,5.4,-8.8,96.9,3,597,2
Seven Tides Real Estate Development L.L.C,seven-tides-real-estate-development-l-l-c,https://datadubai.ae/developers/seven-tides-real-estate-development-l-l-c/,1179,194,ok,985000.0,1348.17,-15.2,-49.9,60.8,2,3790,1
